Name,Employer,From,Experience,Keys
Golang Developer (Кипр),Space307,251322.0,От 3 до 6 лет,"['Docker', 'Golang', 'Redis', 'Английский язык', 'Kafka']"
Е-mail маркетолог,Монополия,60900.0,От 1 года до 3 лет,"['Грамотность', 'Написание текстов', 'Грамотная речь', 'Написание статей']"
Оператор call-центра (удаленно),Eden Springs,,От 1 года до 3 лет,"['Клиентоориентированность', 'Ориентация на результат', 'CRM', 'Электронная почта', 'Телефонные переговоры', 'Прием и распределение телефонных звонков', 'Консультирование', 'Пользователь ПК', 'входящие звонки', 'исходящие звонки', 'Консультирование клиентов по телефону']"
Ведущий SMM специалист,Импорт Хоум,60000.0,От 1 года до 3 лет,"['Продвижение бренда', 'Креативность', 'Adobe Photoshop', 'Маркетинговый анализ', 'Adobe Illustrator', 'ABC-анализ', 'Работа в команде', 'Internet Marketing', 'Графический дизайн', 'Анализ PR стратегии конкурентов', 'Анализ конкурентной среды', 'Бюджетирование', 'Маркетинговая стратегия', 'Проведение презентаций', 'Брендинг']"
UX/UI Designer,Pride Games Studio,,От 1 года до 3 лет,"['UI', 'UX', 'gamedev', 'game design', 'проектирование интерфейсов']"
Middle Game Designer,Pride Games Studio,,От 1 года до 3 лет,[]
Специалист технического сопровождения,Global Ports Management,47850.0,Нет опыта,"['Грамотная речь', 'Грамотность', 'Работа с большим объемом информации', 'Деловая переписка']"
Back-End  Developer (Node.js),IT X100,,От 3 до 6 лет,['Node.js']
Системный администратор/DevOps,Адверт Лайн,160000.0,От 3 до 6 лет,"['devops', 'Nagios', 'Nginx', 'PHP', 'Администрирование серверов Linux', 'Linux', 'MySQL', 'Debian', 'Jenkins', 'ansible', 'SQL', 'Bash']"
Оператор станка с ЧПУ,Группа Компаний MVS,60000.0,От 1 года до 3 лет,[]
Менеджер проектов,Комплексные Коммуникации,73950.0,От 3 до 6 лет,"['Готовность к командировкам', 'Работа в условиях многозадачности', 'Коммуникабельность, ответственность', 'Умение работать в условиях многозадачности', 'Подготовка презентаций', 'Навыки презентации', 'Активные продажи', 'Деловая переписка', 'Ведение переговоров']"
CRM-специалист,Счастливый взгляд,,От 1 года до 3 лет,[]
"Специалист по контекстной рекламе Google Ads, Facebook Ads, Яндекс Директ и веб аналитике",Лира,,От 1 года до 3 лет,"['Яндекс.Директ', 'Яндекс.Метрика', 'Google Analytics', 'Google AdWords', 'Управление проектами', 'Контекстная реклама', 'Информационный стиль', 'Редактура', 'Веб-аналитика', 'Google Tag Manager', 'CRM', 'Alytics', 'Scrum', 'MS Excel', 'Веб-дизайн', 'Повышение конверсии', 'Понимаю разницу между «делать» и «сделать»', 'Арбитраж трафика', 'Google Ads']"
Специалист технической поддержки,Сестрорецкий курорт,34800.0,От 1 года до 3 лет,"['Настройка ПК', 'Настройка ПО', 'Техническая поддержка', 'Настройка сетевых подключений', 'Настройка сетевого оборудования', 'Работа с оргтехникой', 'Service Desk', 'ОС Windows']"
Региональный руководитель группы отдела продаж категории Недвижимость,Авито,,От 1 года до 3 лет,"['Управление продажами', 'Активные продажи', 'Холодные продажи', 'Проведение презентаций', 'Обучение персонала', 'Управление командой', 'Ведение переговоров', 'Аналитика продаж', 'Мотивация', 'Управление временем', 'Мотивация персонала', 'B2B Продажи', 'Организаторские навыки', 'Навыки презентации', 'Грамотная речь', 'Ориентация на результат', 'Тайм-менеджмент']"
Разработчик 1С,КОРЕАНА,120000.0,От 1 года до 3 лет,"['1С программирование', '1С: Предприятие 8']"
Backend Python Developer (middle/team lead),Клевер Солюшнс,140000.0,От 3 до 6 лет,"['Git', 'Redis', 'Django Framework', 'Базы данных', 'Python', 'Linux', 'PostgreSQL', 'SQL', 'Docker', 'Reddis']"
Технический специалист СКС,Невалинк,,От 1 года до 3 лет,"['Монтаж оборудования', 'Монтаж инженерных систем', 'Ремонт ПК', 'Настройка сетевых подключений', 'Пользователь ПК', 'Эксплуатация', 'Пуско-наладочные работы', 'Электрические системы и слаботочные системы', 'Ввод в эксплуатацию', 'Ремонтные работы', 'Прокладка кабелей', 'монтаж скс', 'Оптоволокно', 'проектирование СКУД', 'Системы видеонаблюдения', 'Наружные инженерные сети', 'ремонт сетей', 'слаботочные системы', 'электробезопасность']"
Контент-менеджер,ЭД Девелоп,30000.0,От 1 года до 3 лет,"['Работа в команде', 'Грамотная речь', 'Грамотность', 'Пользователь ПК', 'Креативность', 'Фотография', 'видео', 'контент']"
Full-Stack Developer,Grid Dynamics,,От 1 года до 3 лет,"['Node.js', 'Angular', 'microservice', 'Linux']"
"Старший инженер по автоматизации тестирования Python, Логистика / Биллинг",Ozon,,От 3 до 6 лет,"['Git', 'Python', 'SQL', 'Pytest', 'API', 'QA', 'IT', 'Разработка логистики']"
Техник-механик,Performance Group,,От 1 года до 3 лет,"['Сантехника', 'Электрика', 'Добропорядочность', 'Механик', 'Работа в условиях многозадачности']"
PHP developer (remote work),Petrosoft LLC,,От 3 до 6 лет,"['PHP', 'JavaScript', 'MySQL', 'Java', 'ООП', 'Git', 'Symfony', 'MongoDB', 'CSS', 'HTML5', 'VSTS']"
Журналист / Копирайтер,NewGen Vision,35000.0,Нет опыта,"['Журналистика', 'Наполнение контентом', 'Редактирование текстов', 'Написание статей', 'Написание сценариев', 'Рерайтинг', 'Написание текстов', 'Копирайтинг', 'Работа в команде', 'SEO-копирайтинг', 'перевод статей']"
Аналитик,Газпром нефть,,От 1 года до 3 лет,"['SQL', 'Power BI', 'Python', 'VBA', 'Анализ данных']"
Python-разработчик,FunBox,170000.0,От 1 года до 3 лет,"['Python', 'Django', 'Django REST Framework', 'PyTest', 'Git', 'Postgres', 'Linux', 'CI', 'Работа в команде']"
